City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,linxia chengguanzhen,35.6003,103.2064,11.51,25,0,0.78,CN,1712855579
1,bikenibeu village,1.3673,173.1241,27.89,80,100,3.02,KI,1712855579
2,pontes e lacerda,-15.2261,-59.3353,25.47,95,100,1.38,BR,1712855579
3,vorgashor,67.5833,63.95,-12.33,82,100,11.7,RU,1712855579
4,dudinka,69.4058,86.1778,-25.21,100,55,2.91,RU,1712855579
5,polyarnyy,69.1989,33.4478,1.72,99,100,7.76,RU,1712855580
6,edinburgh of the seven seas,-37.0676,-12.3116,17.42,91,100,5.03,SH,1712855580
7,port-aux-francais,-49.35,70.2167,6.1,97,98,5.63,TF,1712855580
8,lethem,3.3803,-59.7968,35.65,38,91,4.98,GY,1712855580
9,zaysan,47.4667,84.8667,6.48,95,100,0.32,KZ,1712855580
10,talnakh,69.4865,88.3972,-25.44,98,88,1.86,RU,1712855366
11,vilyuchinsk,52.9306,158.4028,0.15,81,14,4.64,RU,1712855580
12,yellowknife,62.456,-114.3525,0.79,84,88,3.13,CA,1712855569
13,ribeira grande,38.5167,-28.7,16.54,88,40,3.58,PT,1712855580
14,olonkinbyen,70.9221,-8.7187,-8.4,69,100,3.75,SJ,1712855580
15,tamanrasset,22.785,5.5228,31.95,7,0,4.12,DZ,1712855580
16,kamiiso,41.8167,140.65,7.73,72,100,0.49,JP,1712855580
17,kirensk,57.7853,108.1119,-2.24,95,97,0.89,RU,1712855581
18,galvez,-32.0293,-61.221,20.81,49,45,6.01,AR,1712855290
19,ushuaia,-54.8,-68.3,8.79,61,0,11.83,AR,1712855529
20,college,64.8569,-147.8028,2.32,66,100,1.54,US,1712855581
21,grytviken,-54.2811,-36.5092,1.47,74,50,5.97,GS,1712855581
22,nguigmi,14.2495,13.1092,32.85,11,100,1.08,NE,1712855581
23,lebu,-37.6167,-73.65,15.47,56,0,2.85,CL,1712855581
24,margaret river,-33.95,115.0667,15.04,68,3,5.87,AU,1712855581
25,iqaluit,63.7506,-68.5145,-2.39,68,86,1.34,CA,1712855581
26,cedartown,34.0537,-85.255,23.78,64,45,6.89,US,1712855581
27,hanceville,34.0607,-86.7675,20.92,88,68,6.74,US,1712855581
28,coxim,-18.5067,-54.76,29.01,76,100,2.3,BR,1712855455
29,carnarvon,-24.8667,113.6333,22.14,61,100,12.25,AU,1712855582
30,polygyros,40.3744,23.4383,18.75,57,0,2.24,GR,1712855582
31,bandar-e lengeh,26.5579,54.8807,29.06,58,35,4.12,IR,1712855582
32,waitangi,-43.9535,-176.5597,16.01,95,47,4.47,NZ,1712855582
33,oktyabr'skiy,54.4815,53.471,13.83,63,100,2.68,RU,1712855582
34,wulingyuan,29.3494,110.5441,11.37,97,3,1.17,CN,1712855582
35,puerto baquerizo moreno,-0.9,-89.6,28.55,79,40,2.57,EC,1712855533
36,ancud,-41.8697,-73.8203,14.41,53,0,2.14,CL,1712855582
37,albany,42.6001,-73.9662,13.38,82,100,2.24,US,1712855534
38,praia da vitoria,38.7333,-27.0667,17.09,95,92,2.41,PT,1712855421
39,shimanovsk,52.0,127.7,4.06,55,38,2.49,RU,1712855583
40,tual,-5.6667,132.75,28.54,67,68,1.83,ID,1712855583
41,tura,25.5198,90.2201,26.02,30,100,1.4,IN,1712855583
42,king city,36.2127,-121.126,24.4,49,11,0.22,US,1712855583
43,adamstown,-25.066,-130.1015,21.61,56,95,8.69,PN,1712855583
44,severo-yeniseyskiy,60.3725,93.0408,-19.68,99,97,0.45,RU,1712855583
45,constantia,44.1833,28.65,18.38,70,1,1.5,RO,1712855463
46,whitehorse,60.7161,-135.0538,2.28,68,33,1.34,CA,1712855509
47,coquimbo,-29.9533,-71.3436,17.22,73,9,2.35,CL,1712855345
48,vernon,50.2581,-119.2691,10.34,62,100,0.89,CA,1712855547
49,puerto ayora,-0.7393,-90.3518,29.98,92,47,1.79,EC,1712855346
50,ilulissat,69.2167,-51.1,-5.99,73,75,2.06,GL,1712855405
51,fisterra,42.9049,-9.2629,22.08,72,89,1.96,ES,1712855584
52,biograd na moru,43.9433,15.4519,21.39,75,100,5.02,HR,1712855584
53,labrador city,52.9463,-66.9114,1.08,96,100,3.97,CA,1712855584
54,magadan,59.5667,150.8,-8.04,91,14,2.18,RU,1712855584
55,bel ombre,-4.6167,55.4167,28.85,76,65,6.19,SC,1712855584
56,lompoc,34.6391,-120.4579,22.61,65,0,1.54,US,1712855447
57,dabola,10.75,-11.1167,34.96,29,53,1.53,GN,1712855584
58,hamilton,39.1834,-84.5333,19.08,93,100,4.63,US,1712855584
59,hawaiian paradise park,19.5933,-154.9731,21.69,98,100,0.0,US,1712855584
60,atafu village,-8.5421,-172.5159,29.19,74,55,2.54,TK,1712855584
61,blackmans bay,-43.0167,147.3167,10.29,84,100,2.92,AU,1712855584
62,la foa,-21.7108,165.8276,23.52,82,100,2.22,NC,1712855585
63,puerto natales,-51.7236,-72.4875,10.25,57,0,2.06,CL,1712855464
64,st. john's,47.5649,-52.7093,5.38,71,20,5.14,CA,1712855517
65,kharan,28.5833,65.4167,31.26,16,88,6.88,PK,1712855585
66,luderitz,-26.6481,15.1594,21.08,57,1,2.85,NA,1712855585
67,bethel,41.3712,-73.414,12.58,88,100,4.63,US,1712855585
68,qarqaraly,49.4058,75.4742,-1.95,94,100,5.12,KZ,1712855585
69,jamestown,42.097,-79.2353,20.77,74,100,5.14,US,1712855577
70,isla vista,34.4133,-119.861,26.36,61,0,0.63,US,1712855585
71,avarua,-21.2078,-159.775,28.03,83,75,6.17,CK,1712855586
72,fortuna,40.5982,-124.1573,11.66,89,100,0.0,US,1712855586
73,ejido,8.5514,-71.2375,30.02,36,33,4.37,VE,1712855586
74,bredasdorp,-34.5322,20.0403,15.24,65,0,5.53,ZA,1712855353
75,wailua homesteads,22.0669,-159.378,23.24,91,75,1.54,US,1712855586
76,hithadhoo,-0.6,73.0833,29.35,72,62,1.82,MV,1712855365
77,nuuk,64.1835,-51.7216,-1.66,86,100,2.06,GL,1712855391
78,el soberbio,-27.2985,-54.1988,20.89,98,100,1.64,AR,1712855586
79,port mathurin,-19.6833,63.4167,27.25,74,33,3.28,MU,1712855586
80,west end,26.6833,-78.9667,26.99,87,72,10.79,BS,1712855586
81,guerrero negro,27.9769,-114.0611,21.51,45,56,1.93,MX,1712855442
82,wotho,10.1657,166.0102,27.12,77,94,9.22,MH,1712855586
83,port elizabeth,-33.918,25.5701,16.17,84,54,3.13,ZA,1712855587
84,ta`u,-14.2336,-169.5144,28.32,81,16,4.14,AS,1712855587
85,koton-karfe,8.1,6.8,39.61,21,21,1.87,NG,1712855587
86,siwa oasis,29.2041,25.5195,25.38,17,0,2.83,EG,1712855587
87,novoutkinsk,56.993,59.5571,6.76,71,90,5.51,RU,1712855587
88,stanley,54.868,-1.6985,14.29,78,20,5.66,GB,1712855587
89,hisor,38.525,68.5512,18.86,44,100,1.13,TJ,1712855587
90,nar'yan-mar,67.6713,53.087,1.73,100,100,7.6,RU,1712855587
91,north bondi,-33.8824,151.2769,14.98,85,12,2.06,AU,1712855587
92,shasta lake,40.6804,-122.3708,22.57,43,4,0.27,US,1712855587
93,balkanabat,39.5108,54.3671,14.56,85,100,4.17,TM,1712855587
94,leongatha,-38.4833,145.95,10.74,85,35,0.85,AU,1712855588
95,port hedland,-20.3167,118.5667,24.03,88,0,3.09,AU,1712855414
96,utrik,11.2278,169.8474,26.64,75,97,9.56,MH,1712855588
97,ciudad lazaro cardenas,17.9583,-102.2,28.45,56,0,3.38,MX,1712855588
98,sal rei,16.1833,-22.9167,24.11,64,20,4.12,CV,1712855588
99,portales,34.1862,-103.3344,13.94,33,0,4.16,US,1712855413
100,bilibino,68.0546,166.4372,-23.73,100,94,0.79,RU,1712855588
101,invercargill,-46.4,168.35,7.79,86,100,1.34,NZ,1712855588
102,codrington,-38.2667,141.9667,13.72,63,100,2.47,AU,1712855395
103,oristano,39.9,8.6,17.12,63,89,2.68,IT,1712855589
